CD Code|CD Name|Customer Code|Customer Name|RE Channel|Registration Date|Customer Creation Date|Beat Code|Beat Name|Salesman Code|Salesman Name|Coverage_Day|Customer_Name|Outlet_Index_No|Beat_Name|Beat_Index_No|HO-DSM Type|contact|Zone_|State_|District_|City_|Pop Strata_|Super_Charge_Product|Super_Charge_Product_PDO|Super_Charge_No_of_Product|Tota_Outlet_Count|Tota_Outlet_Count_Slab|Super_Charge_Focus_Product_Vol|Super_Charge_Num_Products_Billed|Super_Charge_Focus_Product_Vol_BTD|Super_Charge_Num_Products_Billed_BTD|Total_Vol_MT
2112214|SANYAM MARKETING|AWL1000420134|MUNISUVRATNATH PROVISION STORE|Low End|44092|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|20. MUNISUVRATNATH PROVISION STORE - AWL1000420134|20|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|4.5
2112214|SANYAM MARKETING|AWL1000564280|Munisuvrutnath provision store|Low End|44465|44465|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|21. Munisuvrutnath provision store - AWL1000564280|21|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000248377|NEW NEHRU KIRANA STORE |Low End|43664|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|22. NEW NEHRU KIRANA STORE  - AWL1000248377|22|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000491998|OM NAMH SHIVAY PROVISION STORE|Low End|44234|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|23. OM NAMH SHIVAY PROVISION STORE - AWL1000491998|23|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000564282|PARASH MAHAVIRPRASAD JAIN|Low End|44465|44465|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|24. PARASH MAHAVIRPRASAD JAIN - AWL1000564282|24|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000596863|POOJA GENERAL STORE|Low End|44538|44538|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|25. POOJA GENERAL STORE - AWL1000596863|25|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000580973|PURABDEV KIRANA STORE (RAMOL GAM)|Low End|44499|44499|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|26. PURABDEV KIRANA STORE (RAMOL GAM) - AWL1000580973|26|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL0000787542|RADHE KIRANA STORE|Low End|45324|45324|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|27. RADHE KIRANA STORE - AWL0000787542|27|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000580984|RAMESHWER KIRANA (KAMOD)|Low End|44499|44499|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|28. RAMESHWER KIRANA (KAMOD) - AWL1000580984|28|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL0000831448|RAMJI KIRANA STORE|Low End|45509|45509|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|29. RAMJI KIRANA STORE - AWL0000831448|29|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|4.5
2112214|SANYAM MARKETING|AWL1000546094|Sahulat Mart Private Limited (Sahulat super market)|Low End|44433|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|30. Sahulat Mart Private Limited (Sahulat super market) - AWL1000546094|30|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL0000787544|SHAHALAM PRO AND PARLOR|Low End|45324|45324|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|31. SHAHALAM PRO AND PARLOR - AWL0000787544|31|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|8.69
2112214|SANYAM MARKETING|AWL1000178290|Shantinath General Stores|Low End|43453|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|32. Shantinath General Stores - AWL1000178290|32|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL0000787540|SHREE BALAJO TRADING CO|Low End|45324|45324|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|33. SHREE BALAJO TRADING CO - AWL0000787540|33|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL0000787543|SHREE GANESH ANAJ BHANDAR|Low End|45324|45324|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|34. SHREE GANESH ANAJ BHANDAR - AWL0000787543|34|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000420140|SHREE GAYTRI PROVISION STORE|Low End|44092|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|35. SHREE GAYTRI PROVISION STORE - AWL1000420140|35|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000420141|SHREE VEER PROVISION STORE|Low End|44092|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|36. SHREE VEER PROVISION STORE - AWL1000420141|36|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000564279|Veer provision store|Low End|44465|44465|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|37. Veer provision store - AWL1000564279|37|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000381464|AASIRVAD TRADERS |Low End|43887|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|1. AASIRVAD TRADERS  - AWL1000381464|1|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000248375|ARYAN KIRANA STORE |Low End|43664|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|2. ARYAN KIRANA STORE  - AWL1000248375|2|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178483|BABA RAMDEV PROVISION|Mass|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|3. BABA RAMDEV PROVISION - AWL1000178483|3|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|1.0|12.0|4.0|13.92
2112214|SANYAM MARKETING|AWL1000178506|Charbhuja Provision|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|4. Charbhuja Provision - AWL1000178506|4|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178507|DWARKESH PROVISION STORE|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|5. DWARKESH PROVISION STORE - AWL1000178507|5|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL0000898229|Fatma kirana Store|Low End|45716|45716|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|6. Fatma kirana Store - AWL0000898229|6|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|2.0|12.0|3.0|16.8
2112214|SANYAM MARKETING|AWL1000178488|GANESH TRADERS|SS|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|7. GANESH TRADERS - AWL1000178488|7|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|24.0|8.0|||88.86
2112214|SANYAM MARKETING|AWL0000898228|Gayatri anaj bhandar|Low End|45716|45716|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|8. Gayatri anaj bhandar - AWL0000898228|8|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|3.0|12.0|2.0|29.84
2112214|SANYAM MARKETING|AWL1000179690|GUPTA TRADERS|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|9. GUPTA TRADERS - AWL1000179690|9|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000308468|GURUKIPRA GENRAL STORE|Low End|43871|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|10. GURUKIPRA GENRAL STORE - AWL1000308468|10|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000540448|GURUKRUPA GEN. STORE|Low End|44415|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|11. GURUKRUPA GEN. STORE - AWL1000540448|11|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|1.0|12.0|4.0|4.5
2112214|SANYAM MARKETING|AWL1000178494|HARESH PROVISION STORE|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|12. HARESH PROVISION STORE - AWL1000178494|12|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|2.0|12.0|3.0|34.5
2112214|SANYAM MARKETING|AWL1000179687|ISHWAR PROVISION STORE|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|13. ISHWAR PROVISION STORE - AWL1000179687|13|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178495|JANATA PROVISION|Mass|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|14. JANATA PROVISION - AWL1000178495|14|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178486|JAY AMBE KIRANA|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|15. JAY AMBE KIRANA - AWL1000178486|15|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000540449|JAY AMBE SUPER MARKET|Low End|44415|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|16. JAY AMBE SUPER MARKET - AWL1000540449|16|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL0000796910|KAMLESH GENERAL STORES|Low End|45346|45346|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|17. KAMLESH GENERAL STORES - AWL0000796910|17|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178490|KOMAL STORE|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|18. KOMAL STORE - AWL1000178490|18|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|1.0|12.0|4.0|4.5
2112214|SANYAM MARKETING|AWL1000197406|LAXMI NARAYAN PROVISION STORE |Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|19. LAXMI NARAYAN PROVISION STORE  - AWL1000197406|19|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178502|LAXMI PROVISION STORE|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|20. LAXMI PROVISION STORE - AWL1000178502|20|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000197404|MAA NAU DURGA KIRANA & GENRAL STORE |Mass|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|21. MAA NAU DURGA KIRANA & GENRAL STORE  - AWL1000197404|21|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|2.0|12.0|3.0|17.29
2112214|SANYAM MARKETING|AWL1000178484|Mahalaxmi Provision|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|22. Mahalaxmi Provision - AWL1000178484|22|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178491|MAHASHAKTI KIRANA|Mass|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|23. MAHASHAKTI KIRANA - AWL1000178491|23|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|1.0|12.0|4.0|30.0
2112214|SANYAM MARKETING|AWL1000178476|MAHAVIR ANAJ BHANDAR|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|24. MAHAVIR ANAJ BHANDAR - AWL1000178476|24|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000179898|Mahesh Traders|Mass|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|25. Mahesh Traders - AWL1000179898|25|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000596815|MANYA PROVISION STORE|Low End|44538|44538|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|26. MANYA PROVISION STORE - AWL1000596815|26|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|1.0|12.0|4.0|4.5
2112214|SANYAM MARKETING|AWL0000796908|MARUTI TRADER|Low End|45346|45346|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|27. MARUTI TRADER - AWL0000796908|27|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000179688|MEWADA OIL DEPO|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|28. MEWADA OIL DEPO - AWL1000179688|28|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL0000898231|Momai Kirana & pro. store|Low End|45716|45716|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|29. Momai Kirana & pro. store - AWL0000898231|29|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178477|MUKESH KIRANA STORE|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|30. MUKESH KIRANA STORE - AWL1000178477|30|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178492|PASHWANATH KIRANA|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|31. PASHWANATH KIRANA - AWL1000178492|31|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000420136|RAJ TRADING|Low End|44092|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|32. RAJ TRADING - AWL1000420136|32|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178481|RAJASTHAN KIRANA|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|33. RAJASTHAN KIRANA - AWL1000178481|33|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178508|RAMDEV PROVISION STORE|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|34. RAMDEV PROVISION STORE - AWL1000178508|34|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000179689|S KUMAR & COMPANY|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|35. S KUMAR & COMPANY - AWL1000179689|35|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL0000898227|Shafiq kirana store|Low End|45716|45716|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|36. Shafiq kirana store - AWL0000898227|36|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000197405|SHIV FLOOR FACTORY |Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|37. SHIV FLOOR FACTORY  - AWL1000197405|37|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL0000898230|Shree Arbuda Trading co.|Low End|45716|45716|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|38. Shree Arbuda Trading co. - AWL0000898230|38|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|||||
2112214|SANYAM MARKETING|AWL1000178493|SHREE ASHAPURA KIRANA|Low End|43453|44463|BEAT813079|Isanpur 1|SLM21239|Jadav Vipul H-|Sunday|39. SHREE ASHAPURA KIRANA - AWL1000178493|39|2. Isanpur 1|2|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|48|41-50|0.0|1.0|12.0|4.0|4.5
